 1.000000 0.001260 
 0.999420 0.001342 
 0.997670 0.001587 
 0.994750 0.001994 
 0.990690 0.002560 
 0.985470 0.003280 
 0.979120 0.004152 
 0.971660 0.005169 
 0.963090 0.006324 
 0.953440 0.007611 
 0.942730 0.009022 
 0.930990 0.010549 
 0.918240 0.012182 
 0.904510 0.013914 
 0.889840 0.015735 
 0.874260 0.017635 
 0.857800 0.019605 
 0.840510 0.021635 
 0.822420 0.023714 
 0.803580 0.025834 
 0.784030 0.027983 
 0.763820 0.030152 
 0.742990 0.032329 
 0.721600 0.034506 
 0.699680 0.036670 
 0.677300 0.038811 
 0.654510 0.040917 
 0.631350 0.042978 
 0.607890 0.044980 
 0.584180 0.046912 
 0.560270 0.048762 
 0.536220 0.050516 
 0.512080 0.052162 
 0.487920 0.053687 
 0.463780 0.055077 
 0.439730 0.056320 
 0.415820 0.057403 
 0.392110 0.058314 
 0.368650 0.059042 
 0.345490 0.059575 
 0.322700 0.059903 
 0.300320 0.060017 
 0.278400 0.059910 
 0.257010 0.059576 
 0.236180 0.059008 
 0.215970 0.058205 
 0.196420 0.057164 
 0.177580 0.055886 
 0.159490 0.054372 
 0.142200 0.052625 
 0.125750 0.050651 
 0.110160 0.048457 
 0.095490 0.046049 
 0.081770 0.043437 
 0.069020 0.040631 
 0.057270 0.037641 
 0.046560 0.034479 
 0.036910 0.031156 
 0.028340 0.027683 
 0.020880 0.024071 
 0.014530 0.020330 
 0.009320 0.016471 
 0.005250 0.012501 
 0.002330 0.008429 
 0.000580 0.004260 
 0.000000 0.000000 
 0.000580 -0.004260 
 0.002330 -0.008429 
 0.005250 -0.012501 
 0.009320 -0.016471 
 0.014530 -0.020330 
 0.020880 -0.024071 
 0.028340 -0.027683 
 0.036910 -0.031156 
 0.046560 -0.034479 
 0.057270 -0.037641 
 0.069020 -0.040631 
 0.081770 -0.043437 
 0.095490 -0.046049 
 0.110160 -0.048457 
 0.125750 -0.050651 
 0.142200 -0.052625 
 0.159490 -0.054372 
 0.177580 -0.055886 
 0.196420 -0.057164 
 0.215970 -0.058205 
 0.236180 -0.059008 
 0.257010 -0.059576 
 0.278400 -0.059910 
 0.300320 -0.060017 
 0.322700 -0.059903 
 0.345490 -0.059575 
 0.368650 -0.059042 
 0.392110 -0.058314 
 0.415820 -0.057403 
 0.439730 -0.056320 
 0.463780 -0.055077 
 0.487920 -0.053687 
 0.512080 -0.052162 
 0.536220 -0.050516 
 0.560270 -0.048762 
 0.584180 -0.046912 
 0.607890 -0.044980 
 0.631350 -0.042978 
 0.654510 -0.040917 
 0.677300 -0.038811 
 0.699680 -0.036670 
 0.721600 -0.034506 
 0.742990 -0.032329 
 0.763820 -0.030152 
 0.784030 -0.027983 
 0.803580 -0.025834 
 0.822420 -0.023714 
 0.840510 -0.021635 
 0.857800 -0.019605 
 0.874260 -0.017635 
 0.889840 -0.015735 
 0.904510 -0.013914 
 0.918240 -0.012182 
 0.930990 -0.010549 
 0.942730 -0.009022 
 0.953440 -0.007611 
 0.963090 -0.006324 
 0.971660 -0.005169 
 0.979120 -0.004152 
 0.985470 -0.003280 
 0.990690 -0.002560 
 0.994750 -0.001994 
 0.997670 -0.001587 
 0.999420 -0.001342 
 1.000000 -0.001260 
